Vehicle_Model,Invoice_Line_Text,Category,Stock_On_Shelf,Critical_Threshold,Lead_Time_Days,Unit_Cost_IDR
BAJAJ PULSAR 200 NS,ENGINE OIL 20W-50 1L,LUBRICANTS,12,30,3,65000
BAJAJ AVENGER STREET 220,OIL FILTER CARTRIDGE,FILTERS,4,15,4,35000
BAJAJ PULSAR 150,BRAKE SHOE REAR SET,BRAKES,2,10,5,85000
BAJAJ DISCOVER 125,CHAIN LUBRICATION SPRAY 500ML,MAINTENANCE,8,25,2,45000
BAJAJ PULSAR 220,4 WAY HANDLE SWITCH ASSEMBLY,ELECTRICAL,3,8,7,125000
BAJAJ V15,ENGINE VALVE GUIDE SET,ENGINE_PARTS,1,6,8,145000
BAJAJ PULSAR 180,TIMING CHAIN KIT,ENGINE_PARTS,2,8,6,210000
BAJAJ PLATINA 100,COOLANT RADIATOR FLUID 1L,FLUIDS,5,20,3,48000
BAJAJ DOMINAR 400,FRONT DISC BRAKE PAD SET,BRAKES,3,12,5,185000
BAJAJ AVENGER 160,AIR FILTER ELEMENT,FILTERS,6,15,4,42000
COMMERCIAL FLEET TRUCK,CLUTCH PLATE HEAVY DUTY,TRANSMISSION,2,6,10,650000
COMMERCIAL FLEET TRUCK,BRAKE LINING RIVET SET,BRAKES,4,12,4,220000
COMMERCIAL FLEET TRUCK,HYDRAULIC RETURN FILTER,HYDRAULICS,1,5,7,380000
COMMERCIAL FLEET TRUCK,DIESEL FUEL FILTER WATER SEPARATOR,FILTERS,3,10,5,160000
COMMERCIAL FLEET TRUCK,UNIVERSAL JOINT CROSS PROPELLER,DRIVETRAIN,2,6,8,290000
