site_id,site_name,site_type,region,tower_height_m,status
JKS-MCP-001,MCP Gatot Subroto Kav 18,Microcell Pole,DKI Jakarta,20.0,OPERATIONAL
JKS-MCP-002,MCP Sudirman SCBD Lot 8,Microcell Pole,DKI Jakarta,22.0,OPERATIONAL
JKP-TWR-003,Macro Tower Senayan Palmerah,Macro 4-Legged,DKI Jakarta,45.0,OPERATIONAL
JKB-MCP-004,MCP Tomang Raya Barat,Microcell Pole,DKI Jakarta,18.0,OPERATIONAL
JKT-TWR-005,Macro Tower Cawang Interchange,Macro 4-Legged,DKI Jakarta,52.0,OPERATIONAL
DPS-MCP-006,MCP Teuku Umar Denpasar,Microcell Pole,Bali & Nusa Tenggara,20.0,OPERATIONAL
DPS-TWR-007,Macro Tower Sanur Bypass,Macro 4-Legged,Bali & Nusa Tenggara,42.0,OPERATIONAL
BDG-TWR-008,Macro Tower Dago Asri,Monopole,Jawa Barat,36.0,OPERATIONAL
BDG-MCP-009,MCP Riau Junction Bandung,Microcell Pole,Jawa Barat,18.0,OPERATIONAL
SBY-TWR-010,Macro Tower Darmo Surabaya,Macro 4-Legged,Jawa Timur,48.0,OPERATIONAL
SBY-MCP-011,MCP Basuki Rahmat Surabaya,Microcell Pole,Jawa Timur,20.0,OPERATIONAL
JKS-MCP-012,MCP Kemang Raya Selatan,Microcell Pole,DKI Jakarta,20.0,OPERATIONAL
JKP-TWR-013,Rooftop Pole Cikini Menteng,Rooftop Pole,DKI Jakarta,15.0,OPERATIONAL
TGR-TWR-014,Macro Tower BSD Green Office,Monopole,Banten,38.0,OPERATIONAL
DPS-MCP-015,MCP Sunset Road Kuta,Microcell Pole,Bali & Nusa Tenggara,22.0,OPERATIONAL
