account_code,account_name,account_type,normal_balance
1110,Kas & Rekening Bank Operasional,ASSET,DEBIT
1120,Piutang Usaha Sewa Menara (AR Operator),ASSET,DEBIT
1510,Aset Tetap - Struktur Menara Telekomunikasi,ASSET,DEBIT
1520,Aset Tetap - Jaringan Transmisi Fiber Optic,ASSET,DEBIT
2110,Hutang Usaha Pengadaan Vendor,LIABILITY,CREDIT
4110,Pendapatan Sewa Menara & Kolokasi (MLA),REVENUE,CREDIT
4120,Pendapatan Transmisi Bandwidth & FO,REVENUE,CREDIT
5110,Beban Sewa Lahan Menara (Land Lease),EXPENSE,DEBIT
5120,Beban Listrik PLN & Daya Shelter,EXPENSE,DEBIT
5130,Beban Bahan Bakar Minyak Genset,EXPENSE,DEBIT
5210,Beban Pemeliharaan & Material Restock,EXPENSE,DEBIT
5310,Beban Gaji & Upah Karyawan,EXPENSE,DEBIT
5320,Beban Lembur Teknisi Lapangan,EXPENSE,DEBIT
