balance_id,item_id,warehouse_id,quantity_on_hand,quantity_reserved,reorder_point,stock_status,last_stock_take_date,last_updated
STK-WH-JKT-01-BLT-INV-001,BLT-INV-001,WH-JKT-01,4629,0,2000,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKB-01-BLT-INV-001,BLT-INV-001,WH-JKB-01,2051,0,2000,NORMAL,2026-03-07,2026-03-07 11:15:00
STK-WH-JKT-01-BLT-INV-002,BLT-INV-002,WH-JKT-01,2636,1,1500,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKB-01-BLT-INV-002,BLT-INV-002,WH-JKB-01,1957,0,1500,NORMAL,2026-03-07,2026-03-07 11:15:00
STK-WH-JKT-01-BLT-INV-003,BLT-INV-003,WH-JKT-01,22,5,25,LOW_STOCK,2026-03-08,2026-03-08 14:30:00
STK-WH-JKB-01-BLT-INV-003,BLT-INV-003,WH-JKB-01,28,0,25,NORMAL,2026-03-07,2026-03-07 11:15:00
STK-WH-JKT-01-BLT-INV-004,BLT-INV-004,WH-JKT-01,30,5,10,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKB-01-BLT-INV-004,BLT-INV-004,WH-JKB-01,18,0,10,NORMAL,2026-03-07,2026-03-07 11:15:00
STK-WH-JKT-01-BLT-INV-015,BLT-INV-015,WH-JKT-01,1566,4,1200,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKB-01-BLT-INV-015,BLT-INV-015,WH-JKB-01,2064,0,1200,NORMAL,2026-03-07,2026-03-07 11:15:00
STK-WH-JKT-01-BLT-INV-016,BLT-INV-016,WH-JKT-01,3270,0,3000,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKB-01-BLT-INV-016,BLT-INV-016,WH-JKB-01,3383,0,3000,NORMAL,2026-03-07,2026-03-07 11:15:00
STK-WH-JKT-01-BLT-INV-017,BLT-INV-017,WH-JKT-01,31,1,15,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKB-01-BLT-INV-017,BLT-INV-017,WH-JKB-01,30,0,15,NORMAL,2026-03-07,2026-09-15 17:26:46
STK-WH-JKT-01-BLT-INV-018,BLT-INV-018,WH-JKT-01,233,1,80,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKB-01-BLT-INV-018,BLT-INV-018,WH-JKB-01,149,0,80,NORMAL,2026-03-07,2026-03-07 11:15:00
STK-WH-JKT-01-BLT-INV-019,BLT-INV-019,WH-JKT-01,43,1,20,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKB-01-BLT-INV-019,BLT-INV-019,WH-JKB-01,34,0,20,NORMAL,2026-03-07,2026-03-07 11:15:00
STK-WH-JKT-01-BLT-INV-005,BLT-INV-005,WH-JKT-01,13,0,15,LOW_STOCK,2026-03-08,2026-03-08 14:30:00
STK-WH-JKB-01-BLT-INV-005,BLT-INV-005,WH-JKB-01,20,0,15,NORMAL,2026-03-07,2026-03-07 11:15:00
STK-WH-JKT-01-BLT-INV-006,BLT-INV-006,WH-JKT-01,33,3,12,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKB-01-BLT-INV-006,BLT-INV-006,WH-JKB-01,17,0,12,NORMAL,2026-03-07,2026-03-07 11:15:00
STK-WH-JKT-01-BLT-INV-007,BLT-INV-007,WH-JKT-01,57,1,30,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKB-01-BLT-INV-007,BLT-INV-007,WH-JKB-01,36,0,30,NORMAL,2026-03-07,2026-03-07 11:15:00
STK-WH-JKT-01-BLT-INV-020,BLT-INV-020,WH-JKT-01,24,2,8,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKB-01-BLT-INV-020,BLT-INV-020,WH-JKB-01,9,0,8,NORMAL,2026-03-07,2026-03-07 11:15:00
STK-WH-JKT-01-BLT-INV-021,BLT-INV-021,WH-JKT-01,32,3,20,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKB-01-BLT-INV-021,BLT-INV-021,WH-JKB-01,23,0,20,NORMAL,2026-03-07,2026-03-07 11:15:00
STK-WH-JKT-01-BLT-INV-022,BLT-INV-022,WH-JKT-01,25,2,10,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKB-01-BLT-INV-022,BLT-INV-022,WH-JKB-01,19,0,10,NORMAL,2026-03-07,2026-03-07 11:15:00
STK-WH-JKT-01-BLT-INV-023,BLT-INV-023,WH-JKT-01,17,0,6,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKB-01-BLT-INV-023,BLT-INV-023,WH-JKB-01,11,0,6,NORMAL,2026-03-07,2026-03-07 11:15:00
STK-WH-JKT-01-BLT-INV-024,BLT-INV-024,WH-JKT-01,21,4,8,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKB-01-BLT-INV-024,BLT-INV-024,WH-JKB-01,9,0,8,NORMAL,2026-03-07,2026-03-07 11:15:00
