attendance_id,employee_id,date,clock_in,clock_out,site_id,attendance_type,overtime_hours,status
ATT-1001,EMP-BLT-001,2026-08-28,07:59:00,17:00:00,JKP-TWR-003,SITE_VISIT,0.0,ON_TIME
ATT-1002,EMP-BLT-002,2026-08-28,07:50:00,17:00:00,SBY-MCP-011,SITE_VISIT,0.0,ON_TIME
ATT-1003,EMP-BLT-003,2026-08-28,08:16:00,17:00:00,TGR-TWR-014,SITE_VISIT,0.0,LATE
ATT-1004,EMP-BLT-004,2026-08-28,08:25:00,18:30:00,JKP-TWR-013,SITE_VISIT,1.5,OVERTIME_VERIFIED
ATT-1005,EMP-BLT-005,2026-08-28,07:59:00,17:00:00,JKB-MCP-004,SITE_VISIT,0.0,ON_TIME
ATT-1006,EMP-BLT-006,2026-08-28,08:44:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1007,EMP-BLT-007,2026-08-28,08:24:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1008,EMP-BLT-008,2026-08-28,08:31:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1009,EMP-BLT-009,2026-08-28,08:23:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1010,EMP-BLT-010,2026-08-28,08:30:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1011,EMP-BLT-011,2026-08-28,07:54:00,17:00:00,JKS-MCP-012,SITE_VISIT,0.0,ON_TIME
ATT-1012,EMP-BLT-012,2026-08-28,07:48:00,17:00:00,DPS-TWR-007,SITE_VISIT,0.0,ON_TIME
ATT-1013,EMP-BLT-005,2026-08-29,09:12:00,15:45:00,JKB-MCP-004,EMERGENCY_REPAIR,3.0,OVERTIME_VERIFIED
ATT-1014,EMP-BLT-001,2026-08-31,07:51:00,17:00:00,JKP-TWR-003,SITE_VISIT,0.0,ON_TIME
ATT-1015,EMP-BLT-002,2026-08-31,07:52:00,19:30:00,SBY-TWR-010,SITE_VISIT,2.5,OVERTIME_VERIFIED
ATT-1016,EMP-BLT-003,2026-08-31,07:45:00,20:00:00,BDG-MCP-009,SITE_VISIT,3.0,OVERTIME_VERIFIED
ATT-1017,EMP-BLT-004,2026-08-31,07:53:00,17:00:00,SBY-MCP-011,SITE_VISIT,0.0,ON_TIME
ATT-1018,EMP-BLT-005,2026-08-31,07:51:00,18:30:00,JKP-TWR-013,SITE_VISIT,1.5,OVERTIME_VERIFIED
ATT-1019,EMP-BLT-006,2026-08-31,08:25:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1020,EMP-BLT-007,2026-08-31,08:44:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1021,EMP-BLT-008,2026-08-31,08:15:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1022,EMP-BLT-009,2026-08-31,08:31:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1023,EMP-BLT-010,2026-08-31,08:47:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1024,EMP-BLT-011,2026-08-31,07:49:00,17:00:00,JKP-TWR-013,SITE_VISIT,0.0,ON_TIME
ATT-1025,EMP-BLT-012,2026-08-31,07:47:00,17:00:00,TGR-TWR-014,SITE_VISIT,0.0,ON_TIME
ATT-1026,EMP-BLT-001,2026-09-01,07:57:00,17:00:00,DPS-MCP-006,SITE_VISIT,0.0,ON_TIME
ATT-1027,EMP-BLT-002,2026-09-01,08:25:00,17:00:00,DPS-MCP-015,SITE_VISIT,0.0,LATE
ATT-1028,EMP-BLT-003,2026-09-01,07:58:00,18:30:00,BDG-TWR-008,SITE_VISIT,1.5,OVERTIME_VERIFIED
ATT-1029,EMP-BLT-004,2026-09-01,07:54:00,17:00:00,JKP-TWR-013,SITE_VISIT,0.0,ON_TIME
ATT-1030,EMP-BLT-005,2026-09-01,07:57:00,19:30:00,JKS-MCP-002,SITE_VISIT,2.5,OVERTIME_VERIFIED
ATT-1031,EMP-BLT-006,2026-09-01,08:49:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1032,EMP-BLT-007,2026-09-01,08:23:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1033,EMP-BLT-008,2026-09-01,08:23:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1034,EMP-BLT-009,2026-09-01,08:45:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1035,EMP-BLT-010,2026-09-01,08:50:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1036,EMP-BLT-011,2026-09-01,07:48:00,20:00:00,JKP-TWR-003,SITE_VISIT,3.0,OVERTIME_VERIFIED
ATT-1037,EMP-BLT-012,2026-09-01,07:48:00,17:00:00,DPS-MCP-015,SITE_VISIT,0.0,ON_TIME
ATT-1038,EMP-BLT-001,2026-09-02,07:53:00,18:30:00,JKS-MCP-012,SITE_VISIT,1.5,OVERTIME_VERIFIED
ATT-1039,EMP-BLT-002,2026-09-02,08:15:00,17:00:00,BDG-TWR-008,SITE_VISIT,0.0,LATE
ATT-1040,EMP-BLT-003,2026-09-02,07:45:00,17:00:00,SBY-TWR-010,SITE_VISIT,0.0,ON_TIME
ATT-1041,EMP-BLT-004,2026-09-02,08:17:00,17:00:00,JKS-MCP-002,SITE_VISIT,0.0,LATE
ATT-1042,EMP-BLT-005,2026-09-02,08:22:00,18:30:00,DPS-MCP-015,SITE_VISIT,1.5,OVERTIME_VERIFIED
